"source_index_file","role","model_hash","label","filename","candidate_type","candidate_line","candidate_pos","duplicate_count","metric_eligible"
"target_U95_test_metric_indices","target_U95_test","11183ee51ccb04b1a287422891f3d2ab09fb043e12b3b6b6bc370d4557ffc5e6","1","_CVE-2016-2371.c","PU","14","2","4","1"
"target_U95_test_metric_indices","target_U95_test","ed67863321d8cfcd278fb7c3c4626dfc69c2a02619f859eee4181fdfe1b85885","1","_CVE-2016-2371.c","FC:memset","18","5","3","1"
"target_U95_test_metric_indices","target_U95_test","a97ffd93950583cbcaf357a4d8c69acda905589c64d2222b5f0c14abd0d2264e","1","_CVE-2016-2371.c","AU","36","14","1","1"
"target_U95_test_metric_indices","target_U95_test","c5f18e4a0d10233636348daeb262bd61e064b3966ef9d53724521db3d5e11344","1","_CVE-2016-2371.c","PU","37","15","1","1"
"target_U95_test_metric_indices","target_U95_test","96fa5f686e4f3539d58e7bd030391f8d13befbe148e47d70893aa0f0cff37b75","1","_CVE-2016-2371.c","PU","39","16","1","1"
"target_U95_test_metric_indices","target_U95_test","e1a7a72fce37bc4343866dd30f6699d28bcb464a766471cafdb9253145da5ae4","1","_CVE-2016-2371.c","PU","41","17","1","1"
"target_U95_test_metric_indices","target_U95_test","481d7b342deb9b23b4e110b46ef0ecec31d972df3250b47ad634112756a971d9","1","_CVE-2016-2371.c","AE","43","18","1","1"
"target_U95_test_metric_indices","target_U95_test","98ac5d930878a10d521786925ce7f25fda2506e33ae7d50797802fb91231eadb","1","_CVE-2016-2371.c","PU","47","20","1","1"
"target_U95_test_metric_indices","target_U95_test","9c221bd5bb550647db1a806b232770da4ddf93245e2324aa75c76dc185919e47","1","_CVE-2016-2371.c","AU","53","23","1","1"
"target_U95_test_metric_indices","target_U95_test","3539adfdace026eae084706934079c8e33bd8011a183fa918cfef5517ff11cd0","1","_CVE-2016-2371.c","AU","55","21","1","1"
"target_U95_test_metric_indices","target_U95_test","6267a309409852dddc5ba312404eb3a8ada83ec4746ee3e6f6d414ce1b29d372","1","_CVE-2016-2371.c","PU","56","21","1","1"
"target_U95_test_metric_indices","target_U95_test","d84300e6cc5cdc6af72f594c111de60eb7461baf0e7ec7f8fde678bd0f5c747c","1","_CVE-2016-2371.c","AU","61","22","2","1"
"target_U95_test_metric_indices","target_U95_test","5b0b33a474024bf2b93db1b3a37d94d7ef6ea1b6828ca0295a6a3ac5931b6066","1","_CVE-2016-2371.c","AU","64","30","2","1"
"target_U95_test_metric_indices","target_U95_test","01c695df6b9f6ec5f9174c06e9e4aa538bd97270ff57a1eeaf21ceb3f2f36606","1","_CVE-2016-2371.c","PU","79","23","1","1"
"target_U95_test_metric_indices","target_U95_test","aee27e9c45c6a7dc99d3293c4f1e699de8dcbb0bd7278f02bf00e01656c6741a","1","_CVE-2016-2371.c","AE","82","40","2","1"
"target_U95_test_metric_indices","target_U95_test","3babc8f5c22ddc2e7183561a786d2a80b39f4289c14a50990dd9c8c4a37c71bb","1","_CVE-2016-2371.c","PU","86","25","1","1"
"target_U95_test_metric_indices","target_U95_test","0f2f93c04c4c47985d37fc527dedb452417943b2d4b693552a8c535e9512f1d9","1","_CVE-2016-2371.c","PU","87","26","1","1"
"target_U95_test_metric_indices","target_U95_test","9cc586d829fb629cf4d3dc3cb7fcb7402e0e25a6e381b9d1495037ad56e6bb6f","1","_CVE-2016-2371.c","AU","90","27","1","1"
"target_U95_test_metric_indices","target_U95_test","176324217f3c64c92296d3347c0a7b606dfbd9d7a34a5e60638cca3af6755456","1","_CVE-2016-2371.c","PU","98","29","7","1"
