"node_index","model_hash","representative_record_id","duplicate_count","resolved_label","conflict","source_files","candidate_families","original_index","filename","candidate_type","candidate_line","candidate_pos","raw_hash","token_hash","token_count","candidate_valid"
"49322","e60c6bc14272bfd2c4843e43eeed991d337c55a4d219c49ef80ad4a98396d8a3","92501","1","0","0","1","FC","68119","pval.c_gen_prios.c","FC:malloc","23","1","18ac982ac83b90b7c8eafb158613695d83d78655ee45f2c0377cdfe4bcbdf941","81cd9d0ec512c975a57684a4f4d2755a54062181ea41e49ce7181f0cb34c8b49","5111","1"
"49323","85890fe1d86a7965dc97de11760311489f1cebf73ae0525c3253437dbe75d21b","92502","1","0","0","1","FC","68120","pval.c_gen_prios.c","FC:malloc","26","2","f911b410437431cebd32c9ad34d8287757bdcf0febff9a5d7c4f12c3e518ef5e","4aa7626208c53277bcadb652db7aeede3d915f1f8f1aefcc5214820d2005528b","5107","1"
"49324","73b80cc27b5d90f177b3a1691fe1d86c163a386a3591192e5f8ca1980b41f25a","92503","1","0","0","1","FC","68121","pval.c_gen_prios.c","FC:malloc","29","3","1c221815ed94658bc4eb7d8d77ed198bdc8ec9530a1843a58e5d016ab7cd23ad","aa708d7fd85826c6487ad7b18fdbeb86baa509a99d2c6dc149cf4fe4652c46f3","5103","1"
"49325","03b7b516b2e84290e84225130193671b62fd0f762fdadc3b0430eebe16b89d26","92504","1","0","0","1","PU","68122","pval.c_gen_prios.c","PU","32","4","de656c9829d64f0925d77752d255467e9511c304de8762a5e1de6965d5990172","226d191ac423e175c29e51bd48da6666630ecc093fe0e35a094297ca6b504bb4","85","1"
"49326","c1818507233d82b21c6cda5b4e8670c4376f72174c95e398f137175a4eae888d","92505","1","0","0","1","PU","68123","pval.c_gen_prios.c","PU","35","7","a67697cd6193fe7365bf9f8e8cab410a55b60165d54e6f1556b99ce97a36621c","ea6d91fae047447e93e17566869195ce72fb0e23477a945da804d3df8db42c29","105","1"
"49327","64446518ef7bee5dda4ff3401ff130af7808927180136c754bdcb419b05f8f4a","92506","4","0","0","1","AE,FC","68124","pval.c_gen_prios.c","AE","36","8","df77559f179f24a87c2122d5375e24a701dd5899987bca0a3ea05947b5e22a54","531523f0548230be7e414e74e994a7d42d1c77c061037a1c104aa92289646c0e","4956","1"
"49328","d84a9b9dcc650e960fb082e4f00ca365b6e581a14e8be7dd6025c80314b4845a","92507","1","0","0","1","PU","68125","pval.c_gen_prios.c","PU","38","10","7c5adfa1a87db65049676f2edb770fc30704996c59427d965a929e402f6cca44","9358a49b4cb893081aba7bec342208d15c7cd091bc0f45bef468694d5645f9b5","214","1"
"49329","53236ed2fa234d3b2f3faf5b930a804bf43d7b0a31f7626363f4784e28c7eb99","92509","1","0","0","1","PU","68127","pval.c_gen_prios.c","PU","41","12","7c5adfa1a87db65049676f2edb770fc30704996c59427d965a929e402f6cca44","9358a49b4cb893081aba7bec342208d15c7cd091bc0f45bef468694d5645f9b5","214","1"
"49330","6d69b5596aa12ee4a152e5abbba05b592eeff9fd0c44ae2dd520d6e1f92d55d3","92512","1","0","0","1","PU","68130","pval.c_gen_prios.c","PU","51","17","7c5adfa1a87db65049676f2edb770fc30704996c59427d965a929e402f6cca44","9358a49b4cb893081aba7bec342208d15c7cd091bc0f45bef468694d5645f9b5","214","1"
"49331","be73bfe77d9550aa9ebf79a85500b1fcf9ed44b63fa20fbcfe74c56e03055eb1","92513","1","0","0","1","PU","68131","pval.c_gen_prios.c","PU","52","18","7c5adfa1a87db65049676f2edb770fc30704996c59427d965a929e402f6cca44","9358a49b4cb893081aba7bec342208d15c7cd091bc0f45bef468694d5645f9b5","214","1"
